"ALIASNAME";"Höhe ü NN";"Breite";"Länge";"nieder";"Breite";"Lange"
"SCHOENAU A.KOE.SEE AKKST";616;"47°36'";"12°59'";1463.2;47.6;12.98
"SCHOENAU/SCHW.";535;"47°47'";"07°53'";1741.5;47.78;7.88
"SCHOENBECK";53;"53°34'";"13°34'";551.1;53.57;13.57
"SCHOENBERG";10;"53°50'";"10°56'";633.4;53.83;10.93
"SCHOENBERG IN HOLSTEIN";7;"54°24'";"10°22'";584.0;54.4;10.37
"SCHOENBERG/NDB.";550;"48°50'";"13°19'";1068.8;48.83;13.32
"SCHOENBRUNN";400;"50°38'";"13°03'";803.5;50.63;13.05
"SCHOENBRUNN (TALSP.)";555;"50°33'";"10°53'";1029.1;50.55;10.88
"SCHOENBRUNN-OBERNEUBRUNN";480;"50°31'";"10°53'";976.0;50.52;10.88
"SCHOENBRUNN/BADEN";350;"49°24'";"08°56'";1143.3;49.4;8.93
"SCHOENEBECK";78;"53°03'";"12°14'";593.9;53.05;12.23
"SCHOENEBECK/ELBE";52;"52°00'";"11°45'";489.6;52;11.75
"SCHOENECK-KOTTENHEIDE";768;"50°22'";"12°24'";1069.7;50.37;12.4
"SCHOENEICHE B.BERLIN";40;"52°28'";"13°41'";584.6;52.47;13.68
"SCHOENERMARK";65;"53°19'";"13°44'";546.9;53.32;13.73
"SCHOENEWALDE";79;"51°48'";"13°14'";529.1;51.8;13.23
"SCHOENEWERDA";119;"51°19'";"11°22'";483.1;51.32;11.37
"SCHOENFELD";135;"51°17'";"13°41'";574.5;51.28;13.68
"SCHOENHARDT";470;"49°07'";"09°33'";992.9;49.12;9.55
"SCHOENINGEN";170;"52°08'";"10°57'";608.0;52.13;10.95
"SCHOENMUENZACH";480;"48°36'";"08°22'";1670.2;48.6;8.37
"SCHOENOW";65;"52°40'";"13°32'";583.6;52.67;13.53
"SCHOENSEE-DIETERSDORF";685;"49°31'";"12°34'";825.0;49.52;12.57
"SCHOENTAL-BIERINGEN";230;"49°20'";"09°32'";835.1;49.33;9.53
"SCHOENWALD/FICHTELGEBIR.";632;"50°11'";"12°05'";803.7;50.18;12.08
"SCHOENWALDE";33;"52°36'";"13°08'";563.3;52.6;13.13
"SCHOENWALDE, KR.DAHME-SP";53;"51°59'";"13°46'";597.2;51.98;13.77
"SCHOENWALDE/-HOLST.";95;"54°11'";"10°45'";756.2;54.18;10.75
"SCHOENWOELKAU-BRINNIS";101;"51°31'";"12°26'";564.7;51.52;12.43
"SCHOEPPENSTEDT-GR.RODE";290;"52°11'";"10°47'";775.5;52.18;10.78
"SCHOEPPINGEN";100;"52°05'";"07°14'";832.7;52.08;7.23
"SCHOLLBRUNN";395;"49°50'";"09°28'";936.1;49.83;9.47
"SCHOLLENE";35;"52°40'";"12°13'";557.3;52.67;12.22
"SCHOPFHEIM-EICHEN";400;"47°38'";"07°50'";1185.0;47.63;7.83
"SCHOPFHEIM-SCHWEIGMATT";723;"47°40'";"07°52'";1439.0;47.67;7.87
"SCHOTTEN";265;"50°29'";"09°07'";954.0;50.48;9.12
"SCHOTTEN-BREUNGESHAIN";565;"50°31'";"09°13'";1214.2;50.52;9.22
"SCHRAMBERG";502;"48°13'";"08°23'";1139.8;48.22;8.38
"SCHRAPLAU";135;"51°26'";"11°40'";469.4;51.43;11.67
"SCHRECKSBACH-HOLZBURG";264;"50°50'";"09°15'";713.3;50.83;9.25
"SCHREPKOW";46;"52°58'";"12°06'";556.2;52.97;12.1
"SCHROBENHAUSEN";409;"48°33'";"11°17'";751.8;48.55;11.28
"SCHROZBERG";455;"49°20'";"09°58'";830.8;49.33;9.97
"SCHROZBERG-SPIELBACH";456;"49°23'";"10°04'";727.1;49.38;10.07
"SCHUETTORF";31;"52°19'";"07°14'";825.0;52.32;7.23
"SCHULENBERG";504;"51°50'";"10°25'";1189.9;51.83;10.42
"SCHUSSENRIED,BAD-OLZREUT";586;"48°00'";"09°41'";1013.4;48;9.68
"SCHUTTERTAL-SCHWEIGHAUS.";398;"48°13'";"07°57'";1221.9;48.22;7.95
"SCHWAAN";18;"53°56'";"12°07'";606.0;53.93;12.12
"SCHWABACH";343;"49°19'";"11°00'";681.6;49.32;11
"SCHWABBRUCK";730;"47°49'";"10°50'";1183.4;47.82;10.83
"SCHWABMUENCHEN";538;"48°12'";"10°43'";901.7;48.2;10.72
"SCHWAEB.GMUEND-STRASSDF.";415;"48°46'";"09°48'";933.6;48.77;9.8
"SCHWAEB.HALL-TEURERSHOF";365;"49°07'";"09°42'";860.7;49.12;9.7
"SCHWAIGERMOOS";444;"48°22'";"11°48'";908.9;48.37;11.8
"SCHWAIGERN-STETTEN A.H.";193;"49°07'";"09°00'";771.2;49.12;9
"SCHWALBACH,BAD";320;"50°08'";"08°03'";798.9;50.13;8.05
"SCHWALBACH,BAD-LANGENSEI";480;"50°07'";"08°02'";759.9;50.12;8.03
"SCHWALLUNGEN";260;"50°41'";"10°21'";645.3;50.68;10.35
"SCHWALMSTADT-ASCHERODE";225;"50°54'";"09°13'";641.5;50.9;9.22
"SCHWALMTAL-BRAUERSCHWEND";325;"50°42'";"09°20'";743.5;50.7;9.33
"SCHWANAU-OTTENHEIM";153;"48°23'";"07°45'";750.7;48.38;7.75
"SCHWANDORF";356;"49°19'";"12°05'";656.2;49.32;12.08
"SCHWANEBECK";117;"51°57'";"11°07'";546.2;51.95;11.12
"SCHWANEWEDE";22;"53°13'";"08°35'";787.0;53.22;8.58
"SCHWANEWEDE-MEYENBURG";7;"53°16'";"08°36'";755.9;53.27;8.6
"SCHWANGAU-HORN";792;"47°34'";"10°43'";1364.5;47.57;10.72
"SCHWANGAU-NEUSCHWANSTEIN";1008;"47°33'";"10°45'";1592.4;47.55;10.75
"SCHWARME";12;"52°00'";"09°02'";599.7;52;9.03
"SCHWARMSTEDT";26;"52°41'";"09°36'";673.5;52.68;9.6
"SCHWARZACH/M.(KLAERWERK)";188;"49°47'";"10°13'";576.6;49.78;10.22
"SCHWARZBURG";277;"50°38'";"11°11'";638.9;50.63;11.18
"SCHWARZENBACH A.W-DOEBRA";700;"50°16'";"11°39'";994.4;50.27;11.65
"SCHWARZENBACH(FOERMITZ.)";532;"50°12'";"11°54'";831.9;50.2;11.9
"SCHWARZENBEK";40;"53°30'";"10°29'";744.7;53.5;10.48
"SCHWARZENBERG";418;"50°33'";"12°46'";871.3;50.55;12.77
"SCHWARZENBRUCH";620;"48°22'";"08°14'";1572.7;48.37;8.23
"SCHWARZENBRUCK-OCHENBR.";366;"49°21'";"11°15'";759.4;49.35;11.25
"SCHWARZENFELD";365;"49°23'";"12°08'";703.3;49.38;12.13
"SCHWARZENKOPFHUETTE";1336;"47°39'";"11°54'";2028.9;47.65;11.9
"SCHWARZHOLZ";30;"52°44'";"11°58'";523.7;52.73;11.97
"SCHWEDT/ODER";6;"53°04'";"14°19'";471.3;53.07;14.32
"SCHWEINFURT";240;"50°03'";"10°13'";602.1;50.05;10.22
"SCHWEITENKIRCHEN-SUENZH.";499;"48°30'";"11°39'";759.9;48.5;11.65
"SCHWENDI-SCHOENEBUERG";535;"48°09'";"09°56'";855.3;48.15;9.93
"SCHWEPNITZ";142;"51°19'";"13°57'";639.5;51.32;13.95
"SCHWERIN (WEWA)";59;"53°38'";"11°23'";620.3;53.63;11.38
"SCHWERIN-GOERRIES";48;"53°36'";"11°23'";631.8;53.6;11.38
"SCHWERIN-MUESS";38;"53°36'";"11°29'";646.2;53.6;11.48
"SCHWERTE";180;"51°28'";"07°34'";870.5;51.47;7.57
"SCHWETZINGEN";102;"49°22'";"08°34'";698.1;49.37;8.57
"SCHWICKERSHAUSEN";365;"50°27'";"10°22'";610.8;50.45;10.37
"SCHWINKENDORF";55;"53°38'";"12°41'";560.8;53.63;12.68
"SDIER (WASSERWERK)";150;"51°16'";"14°29'";617.4;51.27;14.48
"SEBNITZ";335;"50°58'";"14°15'";854.5;50.97;14.25
"SEEBACH (TALSP.)";212;"51°09'";"10°28'";553.5;51.15;10.47
"SEEBAD HERINGSDORF";10;"53°57'";"14°10'";555.5;53.95;14.17
"SEEBENAU";28;"52°53'";"11°01'";562.2;52.88;11.02
"SEEBURG";42;"52°30'";"13°07'";522.4;52.5;13.12
"SEEDORF,KR.LUENEBURG";48;"53°10'";"10°42'";676.9;53.17;10.7
"SEEDORF,KR.SEGEBG.-BLOMN";31;"54°01'";"10°28'";769.2;54.02;10.47
"SEEFELD/OBB.-UNERING";646;"48°01'";"11°15'";960.9;48.02;11.25
"SEEHAUSEN (WEWA)";21;"52°53'";"11°43'";541.0;52.88;11.72
"SEEHAUSEN/BOERDEKREIS";140;"52°06'";"11°17'";539.4;52.1;11.28
"SEEHEIM-JUGENHEIM";132;"49°45'";"08°38'";816.2;49.75;8.63
"SEELBACH";255;"48°18'";"07°56'";1014.0;48.3;7.93
"SEELOW";55;"52°32'";"14°22'";516.7;52.53;14.37
"SEESBACH";394;"49°50'";"07°32'";675.6;49.83;7.53
"SEESEN";186;"51°54'";"10°11'";858.7;51.9;10.18
"SEESEN-RHUEDEN";132;"51°56'";"10°08'";756.2;51.93;10.13
"SEESHAUPT";584;"47°49'";"11°18'";1268.5;47.82;11.3
"SEEWALD-BESENFELD";804;"48°36'";"08°26'";1617.0;48.6;8.43
"SEGEBERG,BAD";49;"53°55'";"10°18'";757.5;53.92;10.3
"SEHNDE";64;"52°19'";"09°57'";624.7;52.32;9.95
"SEIFARTSDORF";215;"50°57'";"11°58'";662.0;50.95;11.97
"SEIFEN";205;"50°37'";"07°33'";928.9;50.62;7.55
"SEINSFELD";435;"50°03'";"06°39'";849.9;50.05;6.65
"SELB/OFR.-WILDENAU";611;"50°11'";"12°10'";831.3;50.18;12.17
"SELFKANT-HAVERT";46;"51°02'";"05°54'";735.2;51.03;5.9
"SELMSDORF";70;"53°52'";"10°52'";665.3;53.87;10.87
"SELSINGEN";22;"53°22'";"09°13'";781.1;53.37;9.22
"SELTERS/TS.-MUENSTER";250;"50°22'";"08°16'";683.6;50.37;8.27
"SELTERS/WESTERWALD";262;"50°31'";"07°45'";900.2;50.52;7.75
"SENDEN,KR.NEU-ULM";491;"48°19'";"10°03'";779.1;48.32;10.05
"SENDEN-OTTMARSBOCHOLT";61;"51°50'";"07°33'";814.3;51.83;7.55
"SENFTENBERG";102;"51°30'";"14°01'";572.3;51.5;14.02
"SENSBACHTAL-SALMSHUETTE";335;"49°31'";"09°01'";1062.7;49.52;9.02
"SERNO";120;"51°59'";"12°25'";599.1;51.98;12.42
"SERSHEIM";210;"48°57'";"09°01'";728.4;48.95;9.02
"SETH";33;"53°51'";"10°11'";856.1;53.85;10.18
"SETTRUP";40;"52°29'";"07°38'";725.6;52.48;7.63
"SEUBERSDORF/OPF.";515;"49°09'";"11°37'";873.8;49.15;11.62
"SIBBESSE";188;"52°03'";"09°54'";734.3;52.05;9.9
"SICHAU";60;"52°30'";"11°13'";539.6;52.5;11.22
"SIEBER";340;"51°42'";"10°26'";1270.9;51.7;10.43
"SIEDENBURG-BORSTEL";45;"52°39'";"08°58'";690.7;52.65;8.97
"SIEGBACH-EISEMROTH";330;"50°44'";"08°24'";841.4;50.73;8.4
"SIEGBURG";63;"50°48'";"07°12'";799.9;50.8;7.2
"SIEGEN";263;"50°52'";"08°00'";1160.8;50.87;8
"SIEGEN-EISERFELD";260;"50°51'";"07°59'";1102.9;50.85;7.98
"SIEGMUNDSBURG";784;"50°28'";"11°03'";1128.6;50.47;11.05
"SIEGSDORF-MARIA ECK";828;"47°47'";"12°37'";1763.6;47.78;12.62
"SIETOW";65;"53°26'";"12°34'";535.0;53.43;12.57
"SIGGELKOW OT REDLIN";58;"53°21'";"12°01'";602.0;53.35;12.02
"SIGMARINGEN-LAIZ";580;"48°04'";"09°11'";790.7;48.07;9.18
"SIGMARSZELL-ZEISERTSWEI.";507;"47°34'";"09°44'";1507.1;47.57;9.73
"SIMBACH/INN";360;"48°16'";"13°01'";944.2;48.27;13.02
"SIMMELSDORF-SANKT HELENA";482;"49°37'";"11°21'";1020.1;49.62;11.35
"SIMMERATH(KALLTALSPERRE)";410;"50°38'";"06°18'";1115.3;50.63;6.3
"SIMMERN-WAHLBACH";437;"50°00'";"07°35'";689.5;50;7.58
"SIMMERSFELD";720;"48°37'";"08°31'";1188.6;48.62;8.52
"SIMONSWALD-OBERSIMONSWA.";419;"48°04'";"08°05'";1582.5;48.07;8.08
"SINDELFINGEN";440;"48°42'";"08°59'";735.1;48.7;8.98
"SINDELSDORF";601;"47°43'";"11°21'";1325.6;47.72;11.35
"SINGHOFEN";313;"50°16'";"07°50'";735.4;50.27;7.83
"SINNTAL-ALTENGRONAU";220;"50°15'";"09°37'";798.3;50.25;9.62
"SINNTAL-WEIPERZ";390;"50°18'";"09°36'";897.8;50.3;9.6
"SINSHEIM";197;"49°15'";"08°52'";765.6;49.25;8.87
"SINZHEIM-LEIBERSTUNG";125;"48°45'";"08°05'";936.2;48.75;8.08
"SIPTENFELDE";395;"51°38'";"11°02'";642.7;51.63;11.03
"SIPTENFELDE (FORSTH.UHL)";412;"51°39'";"11°02'";671.6;51.65;11.03
"SITZENDORF";335;"50°37'";"11°09'";689.6;50.62;11.15
"SKASKA";145;"51°20'";"14°10'";603.0;51.33;14.17
"SODEN,BAD-SALMUENSTER";145;"50°16'";"09°21'";900.3;50.27;9.35
"SOEGEL";33;"52°50'";"07°31'";793.4;52.83;7.52
"SOEHREN";40;"53°55'";"10°26'";724.8;53.92;10.43
"SOEHREWALD-EITERHAGEN";255;"51°12'";"09°36'";801.1;51.2;9.6
"SOEHREWALD-WELLERODE";335;"51°14'";"09°34'";772.8;51.23;9.57
"SOEMMERDA";140;"51°09'";"11°07'";485.9;51.15;11.12
"SOERNEWITZ-REUDNITZ";155;"51°25'";"13°04'";555.4;51.42;13.07
"SOESETALSPERRE";274;"51°44'";"10°18'";991.7;51.73;10.3
"SOEST";110;"51°34'";"08°06'";764.2;51.57;8.1
"SOHREN";430;"49°55'";"07°18'";763.6;49.92;7.3
"SOLINGEN-GLUEDER";89;"51°08'";"07°07'";1136.9;51.13;7.12
"SOLINGEN-HOHENSCHEID";154;"51°08'";"07°05'";1046.1;51.13;7.08
"SOLLSCHWITZ";132;"51°21'";"14°13'";594.1;51.35;14.22
"SOLNHOFEN";402;"48°53'";"11°00'";785.4;48.88;11
"SOLTAU (AWST)";77;"52°59'";"09°50'";811.2;52.98;9.83
"SOMMERAU";207;"49°43'";"06°44'";763.4;49.72;6.73
"SOMMERSCHENBURG";200;"52°10'";"11°06'";538.9;52.17;11.1
"SONDERSHAUSEN";201;"51°22'";"10°53'";542.0;51.37;10.88
"SONDERSHAUSEN-OBERSPIER";302;"51°18'";"10°51'";570.8;51.3;10.85
"SONDRA";278;"50°56'";"10°28'";672.4;50.93;10.47
"SONNEFELD-GESTUNGSHAUSEN";332;"50°14'";"11°10'";793.8;50.23;11.17
"SONNEN";847;"48°40'";"13°44'";1249.2;48.67;13.73
"SONNENBERG";776;"51°46'";"10°30'";1531.2;51.77;10.5
"SONNENBUEHL-GENKINGEN";780;"48°24'";"09°11'";1049.5;48.4;9.18
"SONNEWALDE";103;"51°41'";"13°39'";561.2;51.68;13.65
"SONTHEIM";618;"48°00'";"10°21'";948.0;48;10.35
"SONTHOFEN";754;"47°30'";"10°17'";1570.7;47.5;10.28
"SONTRA";365;"51°03'";"09°55'";742.7;51.05;9.92
"SONTRA (A)";242;"51°04'";"09°56'";695.9;51.07;9.93
"SONTRA-BLANKENBACH";335;"51°00'";"10°00'";750.8;51;10
"SOODEN,BAD-ALLENDORF";147;"51°16'";"09°57'";687.9;51.27;9.95
"SORGE";508;"51°41'";"10°41'";948.6;51.68;10.68
"SOSA TS";650;"50°29'";"12°38'";1003.6;50.48;12.63
"SOTTERHAUSEN";200;"51°27'";"11°23'";482.2;51.45;11.38
"SPAHL";380;"50°39'";"09°54'";816.6;50.65;9.9
"SPANGDAHLEM";365;"49°59'";"06°41'";778.7;49.98;6.68
"SPANGENBERG";260;"51°07'";"09°40'";744.6;51.12;9.67
"SPANGENBERG-BISCHOFFEROD";315;"51°07'";"09°45'";793.2;51.12;9.75
"SPECHBACH";185;"49°21'";"08°53'";966.1;49.35;8.88
"SPECHTSBRUNN";680;"50°29'";"11°15'";949.2;50.48;11.25
"SPEYER";99;"49°21'";"08°25'";588.0;49.35;8.42
"SPIEGELAU-KLINGENBRUNN";823;"48°55'";"13°19'";1229.6;48.92;13.32
"SPIESERMUEHLE";240;"49°18'";"07°09'";929.1;49.3;7.15
"SPITTWITZ";215;"51°10'";"14°16'";657.4;51.17;14.27
"SPOEREN-PRUSSENDORF";87;"51°36'";"12°06'";471.3;51.6;12.1
"SPOHLE";15;"53°19'";"08°04'";795.9;53.32;8.07
"SPORA-NISSMA";208;"51°01'";"12°16'";565.7;51.02;12.27
"SPRAITBACH";538;"48°52'";"09°46'";1081.4;48.87;9.77
"SPRAKENSEHL-HAGEN";110;"52°46'";"10°27'";750.1;52.77;10.45
"SPREMBERG (KLAERANLAGE)";99;"51°34'";"14°22'";617.9;51.57;14.37
"SPREMBERG (TALSP)";90;"51°39'";"14°23'";588.7;51.65;14.38
"SPRINGE";100;"52°12'";"09°33'";793.1;52.2;9.55
"SPROCKHOEVEL-HASSLINGHS.";270;"51°20'";"07°17'";1089.1;51.33;7.28
"STAAKEN";34;"52°32'";"13°08'";601.2;52.53;13.13
"STADE";16;"53°35'";"09°29'";778.1;53.58;9.48
"STADELHOFEN";460;"50°00'";"11°12'";897.2;50;11.2
"STADERSAND";5;"53°37'";"09°31'";731.0;53.62;9.52
"STADLAND-SEEFELD";2;"53°27'";"08°21'";768.0;53.45;8.35
"STADTILM";370;"50°47'";"11°05'";568.9;50.78;11.08
"STADTLAURINGEN-FUCHSSTA.";318;"50°09'";"10°24'";678.8;50.15;10.4
"STADTLAURINGEN-OBERLAUR.";315;"50°13'";"10°22'";640.3;50.22;10.37
"STADTLENGSFELD";275;"50°47'";"10°07'";689.1;50.78;10.12
"STADTLOHN";50;"51°59'";"06°55'";793.5;51.98;6.92
"STADTRODA";210;"50°51'";"11°44'";604.0;50.85;11.73
"STAFFELSTEIN-VIERZEHNHE.";360;"50°07'";"11°03'";717.2;50.12;11.05
"STAHNSDORF";40;"52°23'";"13°13'";582.0;52.38;13.22
"STAITZ (TALSP.WEIDA)";350;"50°42'";"11°59'";647.6;50.7;11.98
"STALLWANG";390;"49°03'";"12°38'";824.8;49.05;12.63
"STAMMBACH";530;"50°08'";"11°41'";1019.5;50.13;11.68
"STAMMBACH-QUERENBACH";598;"50°09'";"11°44'";1007.3;50.15;11.73
"STAMMHAM-APPERTSHOFEN";478;"48°52'";"11°27'";700.5;48.87;11.45
"STANGERODE";210;"51°39'";"11°21'";544.6;51.65;11.35
"STAPELBURG";235;"51°54'";"10°40'";643.4;51.9;10.67
"STARKENBERG";260;"51°00'";"12°17'";561.2;51;12.28
"STARNBERG";585;"48°00'";"11°21'";1086.9;48;11.35
"STASSFURT";67;"51°51'";"11°33'";471.8;51.85;11.55
"STAUDERNHEIM";141;"49°46'";"07°41'";539.4;49.77;7.68
"STAUFENBERG-TREIS";225;"50°40'";"08°47'";670.8;50.67;8.78
"STAVENHAGEN, REUTERSTADT";50;"53°42'";"12°53'";549.6;53.7;12.88
"STECHAU";92;"51°41'";"13°28'";572.6;51.68;13.47
"STECKLENBERG";160;"51°44'";"11°05'";545.0;51.73;11.08
"STEDDORF";28;"53°20'";"09°23'";774.2;53.33;9.38
"STEFFELN";490;"50°17'";"06°33'";946.3;50.28;6.55
"STEFFENBERG-QUOTSHAUSEN";338;"50°51'";"08°28'";872.7;50.85;8.47
"STEGELITZ";65;"52°11'";"11°54'";533.3;52.18;11.9
"STEIMBKE";40;"52°39'";"09°23'";687.0;52.65;9.38
"STEINACH";330;"48°57'";"12°36'";812.2;48.95;12.6
"STEINACH/THUER.";510;"50°26'";"11°09'";1199.6;50.43;11.15
"STEINAU";200;"50°18'";"09°26'";805.5;50.3;9.43
"STEINAU,KR.CUXHAVEN";1;"53°41'";"08°52'";766.2;53.68;8.87
"STEINAU-HINTERSTEINAU";388;"50°25'";"09°28'";1020.1;50.42;9.47
"STEINAU-MARJOSS";245;"50°15'";"09°33'";917.0;50.25;9.55
"STEINAU-ULMBACH";385;"50°22'";"09°25'";882.3;50.37;9.42
"STEINBACH";179;"51°12'";"13°37'";605.3;51.2;13.62
"STEINBACH A.WALD";616;"50°26'";"11°22'";1026.8;50.43;11.37
"STEINFELD-SCHOENFELD";46;"52°37'";"11°44'";542.6;52.62;11.73
"STEINFURT-BURGSTEINFURT";64;"52°07'";"07°20'";799.9;52.12;7.33
"STEINGADEN";765;"47°41'";"10°51'";1406.0;47.68;10.85
"STEINHAGEN";21;"54°13'";"12°59'";635.3;54.22;12.98
"STEINHAGEN-BROCKHAGEN";81;"52°00'";"08°20'";775.5;52;8.33
"STEINHAUSEN-ENGLISWEILER";663;"48°01'";"09°56'";974.4;48.02;9.93
"STEINHEID";790;"50°28'";"11°05'";1170.6;50.47;11.08
"STEINHEIM,KR.HOEXTER";144;"51°53'";"09°06'";830.5;51.88;9.1
"STEINHORST";56;"53°43'";"10°29'";728.4;53.72;10.48
"STEINKIRCHEN-HOFSTARRING";485;"48°22'";"12°05'";885.4;48.37;12.08
"STEINMAUERN";115;"48°54'";"08°12'";885.1;48.9;8.2
"STEINRODE-WERNINGERODE";295;"51°30'";"10°29'";680.0;51.5;10.48
"STEINTHALEBEN(FERNSEHT.)";478;"51°25'";"11°05'";581.5;51.42;11.08
"STEINTHALEBEN(RATHSFELD)";380;"51°23'";"11°04'";544.3;51.38;11.07
"STEINWIESEN";365;"50°17'";"11°27'";932.4;50.28;11.45
"STEMPEDA";242;"51°32'";"10°54'";613.6;51.53;10.9
"STENDAL";34;"52°36'";"11°54'";485.2;52.6;11.9
"STERNBERG";25;"53°42'";"11°49'";624.1;53.7;11.82
"STERNENFELS";320;"49°03'";"08°50'";790.2;49.05;8.83
"STERUP";40;"54°44'";"09°44'";782.0;54.73;9.73
"STETTEN,KR.DONNERSBERG";245;"49°40'";"08°05'";536.2;49.67;8.08
"STETTEN-FROHNSTETTEN";779;"48°08'";"09°05'";837.7;48.13;9.08
"STEUTZ";70;"51°52'";"12°04'";536.5;51.87;12.07
"STIEFENHOFEN";835;"47°35'";"09°59'";1835.6;47.58;9.98
"STIEGE";496;"51°40'";"10°53'";814.9;51.67;10.88
"STILLNAU";495;"48°42'";"10°37'";618.1;48.7;10.62
"STOCKHEIM";305;"50°27'";"10°16'";632.7;50.45;10.27
"STOECKEY";225;"51°32'";"10°31'";677.0;51.53;10.52
"STOEPPACH";500;"49°34'";"11°26'";1038.6;49.57;11.43
"STOETTEN (WEWA)";734;"48°39'";"09°52'";1068.5;48.65;9.87
"STOHL";32;"54°28'";"10°08'";706.8;54.47;10.13
"STOLBERG-SCHEVENHUETTE";182;"50°46'";"06°19'";828.9;50.77;6.32
"STOLBERG/HARZ";360;"51°34'";"10°58'";747.4;51.57;10.97
"STOLK";50;"54°36'";"09°32'";865.6;54.6;9.53
"STOLLBERG/ERZG. (TALSP.)";430;"50°43'";"12°48'";884.7;50.72;12.8
"STOLPE";75;"53°21'";"11°44'";601.9;53.35;11.73
"STOLPEN";350;"51°02'";"14°05'";705.4;51.03;14.08
"STORKOW";39;"52°14'";"13°56'";519.9;52.23;13.93
"STRAACH";120;"51°57'";"12°36'";603.7;51.95;12.6
"STRAELEN";45;"51°26'";"06°16'";724.0;51.43;6.27
"STRALSUND";13;"54°17'";"13°04'";656.1;54.28;13.07
"STRANDE";2;"54°27'";"10°11'";730.4;54.45;10.18
"STRASBURG";65;"53°31'";"13°44'";573.8;53.52;13.73
"STRASS B.GERATSKIRCHEN";502;"48°20'";"12°36'";919.6;48.33;12.6
"STRASSBERG";400;"51°36'";"11°02'";727.1;51.6;11.03
"STRASSKIRCHEN";326;"48°49'";"12°42'";742.6;48.82;12.7
"STRASSLACH-MUEHLTHAL";566;"47°59'";"11°29'";1080.4;47.98;11.48
"STRAUBING (WEWA)";350;"48°49'";"12°33'";783.5;48.82;12.55
"STRAUBING-ITTLING";318;"48°53'";"12°38'";695.5;48.88;12.63
"STRAUSBERG";80;"52°35'";"13°53'";587.0;52.58;13.88
"STRAUSSFURT";150;"51°10'";"10°59'";468.1;51.17;10.98
"STREHLA";95;"51°21'";"13°13'";553.1;51.35;13.22
"STROMBERG,KR.WARENDORF";145;"51°48'";"08°12'";835.9;51.8;8.2
"STROMBERG/HUNSRUECK";300;"49°56'";"07°47'";634.9;49.93;7.78
"STUBBEN";7;"53°24'";"08°47'";810.6;53.4;8.78
"STUECKEN";39;"52°14'";"13°04'";521.7;52.23;13.07
"STUEDENITZ";48;"52°53'";"12°16'";550.2;52.88;12.27
"STUEHLINGEN-EBERFINGEN";465;"47°43'";"08°25'";957.4;47.72;8.42
"STUETZENGRUEN-HUNDSH.";640;"50°32'";"12°34'";1022.9;50.53;12.57
"STUETZERBACH";600;"50°38'";"10°51'";918.1;50.63;10.85
"STUTTGART (NECKARTAL)";223;"48°47'";"09°13'";664.6;48.78;9.22
"STUTTGART (WA)";286;"48°46'";"09°10'";691.0;48.77;9.17
"STUTTGART(SCHNAR.AWST)";311;"48°49'";"09°12'";663.6;48.82;9.2
"STUTTGART-ECH.(FLUGWEWA)";371;"48°41'";"09°13'";718.9;48.68;9.22
"STUTTGART-FEUERBACH";318;"48°48'";"09°09'";701.6;48.8;9.15
"STUTTGART-HOHENHEIM";401;"48°42'";"09°12'";679.0;48.7;9.2
"STUTTGART-ROHR";500;"48°43'";"09°05'";782.3;48.72;9.08
"STUTTGART-WEILIMDORF";332;"48°48'";"09°05'";789.9;48.8;9.08
"SUDELFELD";1195;"47°40'";"12°00'";1801.6;47.67;12
"SUDELFELD (POLIZEIHEIM)";1070;"47°40'";"12°03'";1522.9;47.67;12.05
"SUDERBURG";70;"52°54'";"10°26'";723.3;52.9;10.43
"SUEDBROOKMERLAND-BEDEKA.";0;"53°26'";"07°18'";774.7;53.43;7.3
"SUEDERDEICH";3;"54°12'";"08°55'";825.2;54.2;8.92
"SUEDERSTAPEL";10;"54°21'";"09°13'";868.2;54.35;9.22
"SUELZE,BAD";5;"54°06'";"12°40'";655.6;54.1;12.67
"SUELZHAYN";314;"51°36'";"10°41'";911.8;51.6;10.68
"SUGENHEIM-DEUTENHEIM";328;"49°35'";"10°25'";616.1;49.58;10.42
"SUHL, NST";450;"50°35'";"10°41'";909.2;50.58;10.68
"SUHL-HEIDERSBACH";580;"50°38'";"10°43'";946.5;50.63;10.72
"SULZBACH-ROSENBERG";412;"49°29'";"11°47'";843.6;49.48;11.78
"SULZBACH/MAIN-DORNAU";225;"49°53'";"09°11'";756.0;49.88;9.18
"SULZBACH/SAAR";320;"49°18'";"07°03'";922.4;49.3;7.05
"SULZBACH/TAUNUS";140;"50°08'";"08°32'";739.6;50.13;8.53
"SULZDORF A.D.LEDERHECKE";332;"50°14'";"10°34'";647.3;50.23;10.57
"SUNDERN-ALLENDORF";310;"51°17'";"07°57'";1044.7;51.28;7.95
"SUNDERN-HELLEFELD";360;"51°20'";"08°05'";989.9;51.33;8.08
"SUNDERN-LANGSCHEID";340;"51°21'";"07°57'";1001.0;51.35;7.95
"SUNDERN-ROEHRENSPRING";570;"51°14'";"08°02'";1342.4;51.23;8.03
"SUNDHAUSEN";175;"51°28'";"10°48'";527.5;51.47;10.8
"SURWOLD";10;"52°58'";"07°28'";766.7;52.97;7.47
"TAARSEDT";27;"54°34'";"09°42'";823.9;54.57;9.7
"TABARZ/THUER.WALD";415;"50°52'";"10°30'";868.2;50.87;10.5
